Label,Entity
PERSON,Abel
PERSON,Sandman
PERSON,Albion
PERSON,Alexander
PERSON,Sinclair
PERSON,Andrew
PERSON,Lawes
PERSON,Apostles
PERSON,Artemis
PERSON,Arthur
PERSON,Aevasther
PERSON,Athena
PERSON,Beatrice
PERSON,Blakesley
PERSON,Belladonna
PERSON,Davenport
PERSON,Blanca
PERSON,Chandelier
PERSON,Daena
PERSON,Ladell
PERSON,Dakan
PERSON,Rhysmel
PERSON,Dylan
PERSON,Rosenthal
PERSON,Edward
PERSON,Aevasther
PERSON,Elvira
PERSON,Lloyd
PERSON,Eurydice
PERSON,Grace
PERSON,Riverhood
PERSON,Gregory
PERSON,McTrevor
PERSON,Harry
PERSON,Anslow
PERSON,Harvey
PERSON,Wood
PERSON,Harvey's
PERSON,Grandfather
PERSON,Hecate
PERSON,Hephaestus
PERSON,Herakles
PERSON,Hugues
PERSON,Hermann
PERSON,Jane
PERSON,Johnson
PERSON,Jason
PERSON,Cooper
PERSON,Josephine
PERSON,Hawkes
PERSON,Karen
PERSON,Smith
PERSON,Kevin
PERSON,Chow
PERSON,Kieran
PERSON,White
PERSON,Koko
PERSON,Krist
PERSON,Schaeffer
PERSON,Ladell
PERSON,Arthingham
PERSON,Grayson’s
PERSON,Maid
PERSON,Laura
PERSON,Montgomery
PERSON,Lauren
PERSON,Sinclair
PERSON,Leader
PERSON,Phantom
PERSON,Scythe
PERSON,Liam
PERSON,Wood
PERSON,Lila
PERSON,Desroses
PERSON,Lizbeth
PERSON,Aevasther
PERSON,Lucy
PERSON,Lukas
PERSON,Randall
PERSON,Maria
PERSON,Messenger
PERSON,Morgan
PERSON,Greene
PERSON,Morpheus
PERSON,Evans
PERSON,Rosenthal
PERSON,Colden
PERSON,Neyra
PERSON,Elena
PERSON,Darcy
PERSON,Oliver
PERSON,March
PERSON,Orpheus
PERSON,Philip
PERSON,Aevasther
PERSON,Rachel
PERSON,Sinclair
PERSON,Rafael
PERSON,Hawkes
PERSON,Robert
PERSON,Rocca
PERSON,Robin
PERSON,Delaney
PERSON,Rosa
PERSON,Grayson
PERSON,Ryan
PERSON,Flemmings
PERSON,Stefan
PERSON,Hawkes
PERSON,Thalia
PERSON,Butler
PERSON,Sake
PERSON,Tristan
PERSON,Sinclair
PERSON,Viscount
PERSON,Redcliff
PERSON,William
PERSON,Hawkes
PERSON,Zephyr
LOC,Allendale Train Station
LOC,Ardhalis Police Department 11th Precinct
LOC,Docks
LOC,Golden Clover
LOC,Greychapel
LOC,Grim Goblin
LOC,Hanbury Street
LOC,Hawkes Residence
LOC,L'Arlequin
LOC,Lloyd Inc. Glass Factory
LOC,Lonely Traveler's Inn
LOC,Mirage Opera House
LOC,Nightingale Park
LOC,Orion and Sons
LOC,Redcliff's Mansion
LOC,Royal Palace
LOC,Sinclair Residence
LOC,The Allendale Park
LOC,The Carmine Camelia
LOC,Tower of Ardhalis
