chapter_no,sentence
1,What
1,if you believed You knew better than Anyone else . Because
1,"unlike you , They ca n't see the lies . Yet"
1,"ironically , For the past ten years , You Have been The blindest of all . Purple"
1,hyacinth Prologue Stop !
1,Krist
1,schaefferi you are under arrest for planting a bomb in the homstons theateri tell us how to defuse it and
1,we might show mercy !
1,splashl
1,Sh*t . Hey
1,pigs !
1,You
1,think you can stop the phantom scythe ?
1,You
1,'re nothing compared to us !
1,you
1,value this city ?
1,you
1,value your lives ?
1,one
1,more step . And
1,you will die . pok
1,: It
1,'s a grenadei !
1,Everyone
1,get ' outi !
1,run
1,!
1,sht
1,!
1,splas
1,' N ' Splashl woosh= Officer sinclair ?
1,!
1,what
1,are you doing ?
1,!
1,you
1,wo nt make it in timei lauren do nt !
1,M
1,#
1,cough * Zscolgh smoke ?
1,!
1,The
1,bomb was fake ?
1,Fav
1,Red or blue ?
1,!
1,What
1,?
1,which
1,is it ?
1,Which
1,wire ?
1,Talk
1,nowi !
1,tell
1,me how to defuse the bomb or i swear to god iwill b
1,blue 0e Thanks . sinclair
1,here . Sinclair
1,?
1,how
1,?
1,!
1,i
1,have the suspect in hand . what
1,did he say ?
1,Cut
1,the red wire . Are
1,you sure ?
1,dozens
1,of lives are on the line yes
1,Bomb disposal unit reporting the threat has been successfully neutralized Officer sinclair !
1,God
1,", you really scared us back there !"
1,When
1,"you started running towards it , i it 's okay !"
1,The
1,striker head was modified the lever was a lot shorter than a normal grenade : frags have longer heads for safety purposes . most
1,smoke grenades have a shorter one because it 's less lethal . Well
1,", i 'll be going now , officer harvey . got"
1,some paperwork to do back at the station !
1,wait
1,salish See
1,you tomorrow !
1,sinclair
1,. every
1,time : wait is n't the department the other way ?
1,B
1,blue ie i
1,had always been able to hear lies . and
1,you will die . Growing
1,"up , we were taught not to lie . slur"
1,?
1,wh
1,. spl We were taught that lies are evil . But
1,sometimes The truth is worse : And for someone like me i stopped it I stopped it this time : . and
1,yet . There
1,were moments i wished i never knew . Allendale
1,Cross nor zine do police apd Th ie kvlltin veainn Oxom
1,I needed to Keep going . Lalren
1,?
1,splush
1,You did good today . Thank
1,you . But
1,Without the truth Wmp Wvmp Nvmd Wved Hck hck
1,It
1,still wasn t good enough thvhe thvmb But
1,i never thought I d team up with him to find it .
10,Purple
10,hyacinth Episode And last night the purple hyacinth reappeared !
10,Is
10,"this really the "" protection "" our city deserves ?"
10,!
10,he
10,'s right !
10,they
10,' re useless !
10,outrageous
10,!
10,what
10,do we pay them for ?
10,In
10,one single night the purple hy acinth took two victims right across the street from each other and still they could nt catch him !
10,Two
10,valued and respected citizens !
10,who
10,will it be next ?
10,your
10,wives ?
10,your
10,children ?
10,the
10,phantom scythe has dominated our city for the past decadei It
10,'s only a matter of time before they att ack the royal family and destroy everything king philip built !
10,the
10,police are supposed to protect you but they 're just parading like peacocks in the streets !
10,they
10,could be arresting the culprits responsible for these atrocities pombue Instead this purple hyacinth monster is still running freei They
10,'ve been chasing the leader one man for a decade and they do nt have even a single clue who he isi How can we trust them ?
10,!
10,for
10,"shamei for all we know , some of them might be working for the phantom scythei Are nt you tired of being afraid to leave your homes ?"
10,Of
10,wondering if your neighbor will be the next victim ?
10,all
10,i have to do is shout tell the others i recognize him from last night this killing machine could be anywhere creeping up behind your back to slit Your throat !
10,how
10,man more deaths before this bloody abomination is arrested ?
10,I
10,dare you . This
10,might be our only chance at catching him h he could be anwherei Anonei disguised as one of us innocent citizensi she 's right everyone is suspect !
10,youl
10,i
10,saw you leaving your house last night around one in the morning !
10,where
10,were you going huh ?
10,!
10,what
10,?
10,are
10,you seriously insinuating i could be the purple hyacinth ?
10,!
10,have
10,you lost your mind ?
10,!
10,We
10,always knew you were dirty !
10,Why
10,do nt you fess up ?
10,Sh*t
10,!
10,where
10,is he ?
10,!
10,Let
10,me g0 you b*stard !
10,wny
10,No
10,!
10,that
10,b*stardi he ca nt slip away that easily !
10,Pvblze
10,runble Sh*t !
10,Come
10,on teami movei Aod Epad No
10,!
10,ack
10,!
10,You
10,!
10,""""
10,"ll get off me , b*stard !"
10,Vgh
10,wby Step Wha ?
10,Ladies
10,"gentlemen , pleasei i see that you are worried and i underst and your dissatisfaction . Chief"
10,tristan sinclair head of ardhalis police department Uncle ?
10,!
10,As
10,"you said , sir , this criminal organization has been allowed to run free for too long . i"
10,"promise you , you are not the only ones feeling frustrated !"
10,Each
10,one of us here has a family to protect !
10,all
10,of us officer and civilian want to purge this evil that has tarnished our city !
10,and
10,"as chief of police , i personally assure you we prize your well being and your safety above all else !"
10,The
10,chief ?
10,maybe
10,he s right . Uncle
10,has always had a way with words . Always
10,there to save the day . and
10,"yet here we are , talking about ending the phantom scythe while its bloodiest assassin stands among us enjoying the show this morning the king 's right hand , sir rhysmel , came to speak with me to establish a plan of action : steps will be taken , and we will release our plans to the public as soon as possible !"
10,but
10,", fellow citizens , if we truly want to rid ourselves of the phantom scythe , we must unite our forces and not give way to such discord between us !"
10,He
10,'s right !
10,none
10,of us here is part of that filthy organization . We
10,must not stoop to their level !
10,wait
10,how dib he know ?
10,!
10,no
10,he couidnt havei that would mean yes
10,"and we must all stand togetheri otherwise , we are no better than those worthless criminals !"
10,remember
10,we are here to protect you and we are listening !
10,make
10,"sure to report any information you think could be useful to the police now , please disperse and go about your business thank you . Of"
10,"course , i 'm at your service , sir . thank"
10,"you . "" That"
10,"mani He 's a phantom scythe memberi U siri Thank you so much , sir !"
10,you
10,just defused a riot . we
10,"'re the only patrol unit on scene , i do n't know what it 's my job , lieutenant hawkes we 're here maintain peace , we should never answer with violence unless absolutely unavoidable but you said your unit was here !"
10,have
10,you seen my niece ?
10,to
10,"Unclei that mani we ca n't let him go , we must interrogate him lauren !"
10,how
10,lovely to see you . Why
10,do you say that ?
10,becalse
10,we 've just been fooled in the most humiliating way possible He almost started a riot you ca n't let him off the hook that easily !
10,the
10,trust the people have in us is getting more fragile each day we must show them that we are on their side . arresting
10,someone like him right now would be like throwing oil on the fire . I
10,am afraid that lieutenant hawkes is right . Uncle
10,", i 'm aware that it 's a delicate sithation , but what if this speech was a distraction ?"
10,to
10,draw attention from something else : l like involvement with the phantom scythe ?
10,hahahai
10,"we ca n't arrest people without due cause , you know that !"
10,we
10,"could keep him in a 48 holr hold , but that would just anger the people more than anything else . He"
10,"lied earlier , i know it . he"
10,"'s Lauren , i know you must be right but now is not the time and you know better than anyone that to open an investigation we must have solid proof your hunches ca n't overrule the law . Remember"
10,?
10,i
10,understand . you
10,'re right I
10,'m very sorry lauren : i do believe in you . L
10,but all we can do is keep an eye out for him in case of future disturbances . please
10,"excuse me , i have meeting to attend see you tonight , lauren !"
10,have
10,"a good day , officers !"
10,Have
10,"a good day , siri see you tonight , uncle . All"
10,"those years i spent refining my analytical skills just to prove my hunches "" to others Working and working to make detective and join the investigation unit so that i could finally put my ability to use and make a difference . Blt"
10,all of that for what ?
10,For
10,everything to be completely undone by a single mistake ?
10,right
10,"now , my ability is useless . i"
10,knew there were two flagrant criminals in this crowd but i could n't do anything about it they 're right the police are powerless the phantom scythe 's members walk the city freely knowing we 're too scared to arrest them no matter how fiercely we fight they 're always one step ahead . We
10,"are ridiculous the purple hyacinth he belongs behind bars , and that 's exactly where i should send him : Blt last night he was honest with me And the scary thing is , he might be right He"
10,might be my only chance of finding the leader : eef . tick
10,And
10,if nothing else I owe it to him to try Clalk Purple hyacinth ost music let 's make it spicy . co
10,creator co creator and artist
11,Purple
11,hyacinth Episode 10 Well
11,", well , well what do we have here ?"
11,seems
11,like someone changed her mind about my proposal !
11,The
11,good little cop decided to make a deal with the devil . you
11,were so hellbent against it what changed ?
11,you
11,"'re the purple hyacinth , are n't you ?"
11,the
11,most dreaded criminal of the city . You
